id,object,result_position,bookmarks_count,binded_media_url,binded_media_domain,binded_media_thumbnail_url,binded_media_title,binded_media_description,content,internal_unique_id,is_retweeted,is_quoted,likes,media_0_thumbnail,media_0_type,media_0_url,media_1_thumbnail,media_1_type,media_1_url,media_2_thumbnail,media_2_type,media_2_url,media_3_thumbnail,media_3_type,media_3_url,name,original_tweet_url,original_tweet_id,published_at,quote_count,retweet_count,reply_count,tweet_url,user_id,username,views_count,collected_at,input_url
"6362","result","393","2986",,,,,,"3 Cheat codes to save on your engagement ring 💍","1762338280928936333","f","f","12199",,,,,,,,,,,,,"Ajay Anand | Rare Carat",,,"2024-02-27 04:46:03+00","358","1415","3009","https://twitter.com/rarecarat/status/1762338280928936333","778656449576706052","rarecarat","53113863","2024-04-30 12:42:29.100843+00","https://twitter.com/search?q=groningen&src=typed_query"
"11343","result","186","631",,,,,,"Turn your followers into customers with Shopify—the all-in-one commerce platform that creators trust to start, run, and grow their businesses.   Start your free trial today!","1737234099494932955","f","f","6001",,,,,,,,,,,,,"Shopify",,,"2023-12-19 22:11:00+00","18","395","546","https://twitter.com/Shopify/status/1737234099494932955","17136315","Shopify","51699918","2024-04-30 12:19:06.06693+00","https://twitter.com/search?q=groningen&src=typed_query"
"11749","result","122","935",,,,,,"Shopify makes it easy to start your own business💰.","1710466470562439219","f","f","10425",,,,,,,,,,,,,"Shopify",,,"2023-10-07 01:26:00+00","54","845","923","https://twitter.com/Shopify/status/1710466470562439219","17136315","Shopify","98391238","2024-04-30 12:18:30.679166+00","https://twitter.com/search?q=groningen&src=typed_query"
"21672","result","116","290",,,,,,"🚨Beta alert!! From a @figma link to @reactjs in Visual Studio Code @code   &gt;Extension here: https://t.co/V12jHhWUv4 https://t.co/CiGLR90HkE","1770789975228854741","f","f","1300","https://pbs.twimg.com/ext_tw_video_thumb/1770789897764286464/pu/img/HFa90EFF69jMOSzs.jpg","video","https://video.twimg.com/ext_tw_video/1770789897764286464/pu/vid/avc1/480x270/O3_2I02PXx1CLcVD.mp4?tag=12",,,,,,,,,,"Anima",,,"2024-03-21 12:30:04+00","51","465","686","https://twitter.com/AnimaApp/status/1770789975228854741","759524865800019969","AnimaApp","2371766","2024-04-30 12:16:22.821962+00","https://twitter.com/search?q=%23groningen&src=typed_query"
"28258","result","163","201",,,,,,"Buying engagement rings isn't new, but we make it 1000% better.  💸 Incredible prices 💍 Excellent craftsmanship ✅ 100% money-back guarantee","1780724669739639270","f","f","677",,,,,,,,,,,,,"Ajay Anand | Rare Carat",,,"2024-04-17 22:27:00+00","9","84","82","https://twitter.com/rarecarat/status/1780724669739639270","778656449576706052","rarecarat","10159007","2024-04-30 12:17:08.707019+00","https://twitter.com/search?q=%23groningen&src=typed_query"
"29956","result","9","1",,,,,,"Het demissionaire kabinet ""MISBRUIKT"" haar mandaat door het voeren van oorlogen, het ondertekenen van het #pandemieverdrag, het sturen van geld en wapens naar #Oekraïne en het sluiten van het gasveld in Groningen.  Ondemocratisch en nooit in enig verkiezingsprogramma gestaan!! https://t.co/ZWn1JaVw1j","1782113184184184997","f","f","24","https://pbs.twimg.com/media/GLtWeEHXoAATg_M.jpg","photo","https://pbs.twimg.com/media/GLtWeEHXoAATg_M.jpg",,,,,,,,,,"Realistisch Nieuws",,,"2024-04-21 18:24:27+00","1","13","2","https://twitter.com/RNnieuws/status/1782113184184184997","1225960554877145089","RNnieuws","384","2024-04-30 12:17:36.025541+00","https://twitter.com/search?q=groningen&src=typed_query"
"29968","result","162","0",,,,,,"FLORENCE PUGH WAS IN GRONINGEN???????? https://t.co/bf1cvZ80Tm","1782112022433333586","f","f","0","https://pbs.twimg.com/tweet_video_thumb/GLtVb4yW8AI1_tK.jpg","animated_gif",,,,,,,,,,,"hannah",,,"2024-04-21 18:19:50+00","0","0","2","https://twitter.com/falsettosonbway/status/1782112022433333586","1035079519932178432","falsettosonbway","327","2024-04-30 12:18:52.463197+00","https://twitter.com/search?q=groningen&src=typed_query"
"29992","result","345","0",,,,,,"""But these tactics worked against Groningen and Excelsior at Ajax"" https://t.co/uiUMc3BtnG","1782092410732044464","f","f","2","https://pbs.twimg.com/media/GLtDmkqWcAA2nMY.jpg","photo","https://pbs.twimg.com/media/GLtDmkqWcAA2nMY.jpg",,,,,,,,,,"IG: @90minstweets",,,"2024-04-21 17:01:55+00","0","0","0","https://twitter.com/90minstweets/status/1782092410732044464","1484557109807448064","90minstweets","114","2024-04-30 12:41:41.923827+00","https://twitter.com/search?q=groningen&src=typed_query"
"30029","result","333","0",,,,,,"@herr_ort Any house in Groningen","1782119728078520780","f","f","0",,,,,,,,,,,,,"Eugene",,,"2024-04-21 18:50:28+00","0","0","0","https://twitter.com/Eugene__Eugene/status/1782119728078520780","1670018101478400002","Eugene__Eugene","28","2024-04-30 12:20:26.346469+00","https://twitter.com/search?q=groningen&src=typed_query"
"30298","result","43","0",,,,,,"Het land van boer Boon tijdens de ondertekening van de wet waardoor het Groninger gasveld is gesloten. (19-04-2024)#Kolham #Groningen #gaswinning #aardbevingen #Vijlbrief https://t.co/aHitaMZakB","1782116371255480594","f","f","0","https://pbs.twimg.com/media/GLtYifLXYAAnP8v.jpg","photo","https://pbs.twimg.com/media/GLtYifLXYAAnP8v.jpg",,,,,,,,,,"Dimitri Janowitz",,,"2024-04-21 18:37:07+00","0","0","0","https://twitter.com/D_Janowitz/status/1782116371255480594","3104293851","D_Janowitz","125","2024-04-30 12:15:39.977896+00","https://twitter.com/search?q=%23groningen&src=typed_query"
