id,object,result_position,bookmarks_count,binded_media_url,binded_media_domain,binded_media_thumbnail_url,binded_media_title,binded_media_description,content,internal_unique_id,is_retweeted,is_quoted,likes,media_0_thumbnail,media_0_type,media_0_url,media_1_thumbnail,media_1_type,media_1_url,media_2_thumbnail,media_2_type,media_2_url,media_3_thumbnail,media_3_type,media_3_url,name,original_tweet_url,original_tweet_id,published_at,quote_count,retweet_count,reply_count,tweet_url,user_id,username,views_count,collected_at,input_url
30298,result,54,0,,,,,,Het land van boer Boon tijdens de ondertekening van de wet waardoor het Groninger gasveld is gesloten. (19-04-2024)#Kolham #Groningen #gaswinning #aardbevingen #Vijlbrief https://t.co/aHitaMZakB,1.78211637125548E+018,f,f,0,https://pbs.twimg.com/media/GLtYifLXYAAnP8v.jpg,photo,https://pbs.twimg.com/media/GLtYifLXYAAnP8v.jpg,,,,,,,,,,Dimitri Janowitz,,,2024-04-21 18:37:07+00,0,0,0,https://twitter.com/D_Janowitz/status/1782116371255480594,3104293851,D_Janowitz,125,2024-04-30 09:09:34.059835+00,https://twitter.com/search?q=%23groningen&src=typed_query
30299,result,53,0,,,,,,Staatssecretaris Vijlbrief ondertekent in Kolham de wet waardoor het Groninger gasveld is gesloten. (19-04-2024) #Kolham #Groningen #gaswinning #aardbeving https://t.co/bcYf3OPU7L,1.78211448349987E+018,f,f,0,https://pbs.twimg.com/media/GLtVO9eXAAEAGoB.jpg,photo,https://pbs.twimg.com/media/GLtVO9eXAAEAGoB.jpg,,,,,,,,,,Dimitri Janowitz,,,2024-04-21 18:29:37+00,0,0,0,https://twitter.com/D_Janowitz/status/1782114483499872327,3104293851,D_Janowitz,133,2024-04-30 09:09:33.737087+00,https://twitter.com/search?q=%23groningen&src=typed_query
30859,result,128,0,,,,,,#Tinyhouses #Westpark #Groningen Gisteren door ongelukkige manoeuvre met fiets omgevallen bij het oversteken. Tijdens spitsuur dus heel druk maar meteen stonden twee auto's stil en kwamen twee mannen mij te hulp. ❤️ Fiets gelukkig nog heel en ikzelf ook. https://t.co/i24l4s9JVm,1.78274093281249E+018,f,f,26,https://pbs.twimg.com/media/GL2RXnxWQAAlVux.jpg,photo,https://pbs.twimg.com/media/GL2RXnxWQAAlVux.jpg,,,,,,,,,,Ineke Kouwenhoven,,,2024-04-23 11:58:54+00,0,0,3,https://twitter.com/IKouwenhoven/status/1782740932812489090,541266024,IKouwenhoven,380,2024-04-30 09:10:14.190323+00,https://twitter.com/search?q=%23groningen&src=typed_query
30861,result,101,0,,,,,,ins Blaue hinein / in het wilde weg Reitdiepgebied  #Groningen  @GR_Landschap https://t.co/zaQgkGkbu1,1.78244424658004E+018,f,f,12,https://pbs.twimg.com/media/GLyDmGNXUAkgs8v.jpg,photo,https://pbs.twimg.com/media/GLyDmGNXUAkgs8v.jpg,,,,,,,,,,Mirjam Aalfs,,,2024-04-22 16:19:59+00,0,1,3,https://twitter.com/HGL_MirjamAalfs/status/1782444246580039792,1.25259693962086E+018,HGL_MirjamAalfs,339,2024-04-30 09:09:56.324518+00,https://twitter.com/search?q=%23groningen&src=typed_query
30862,result,74,0,,,,,,"On #ShakespeareDay thought I would share this booklet about #Hamlet printed in secret by the famous Dutch artist &amp; innovative printer, Hendrik Nicolaas Werkman, in the dark days of 1944. Werkman was executed by the Nazis in 1945. #Groningen @groningermuseum @ukinnl 🇬🇧 🇳🇱 https://t.co/pyvPN24Mpi",1.78272913957051E+018,f,f,11,https://pbs.twimg.com/media/GL2Gs1-WMAAX9Qf.jpg,photo,https://pbs.twimg.com/media/GL2Gs1-WMAAX9Qf.jpg,https://pbs.twimg.com/media/GL2Gs19WgAAU70L.jpg,photo,https://pbs.twimg.com/media/GL2Gs19WgAAU70L.jpg,,,,,,,Keith Allan,,,2024-04-23 11:12:03+00,0,4,2,https://twitter.com/HCKeithAllan/status/1782729139570507864,8.90825802304156E+017,HCKeithAllan,1106,2024-04-30 09:09:43.68161+00,https://twitter.com/search?q=%23groningen&src=typed_query
30863,result,179,2,,,,,,Er heeft een steekincident plaatsgevonden aan de Verlengde Frederikstraat in #Groningen. Hierbij is één persoon zwaargewond geraakt. Hulpdiensten zijn ter plaatse en de politie doet onderzoek.,1.78267369538055E+018,f,f,10,,,,,,,,,,,,,Politie Groningen,,,2024-04-23 07:31:44+00,0,11,2,https://twitter.com/POL_Groningen/status/1782673695380545717,97639259,POL_Groningen,14186,2024-04-30 09:11:00.369006+00,https://twitter.com/search?q=%23groningen&src=typed_query
30864,result,55,0,,,,,,"Haha. Alles voor een propere rommelmarkt. Dus gelieve niet op het gras te poepen, geldt ook voor honden. #Groningen https://t.co/Y7fPu5kcqA",1.78232158284672E+018,f,f,49,https://pbs.twimg.com/media/GLwUAywWUAAyFxB.jpg,photo,https://pbs.twimg.com/media/GLwUAywWUAAyFxB.jpg,,,,,,,,,,Sikkom,,,2024-04-22 08:12:33+00,2,12,5,https://twitter.com/Sikkom050/status/1782321582846718425,2343981858,Sikkom050,5357,2024-04-30 09:09:34.367259+00,https://twitter.com/search?q=%23groningen&src=typed_query
30866,result,116,1,,,,,,Video | Het ultieme dronkenmansfilmpje. Mooier dan dit wordt het niet  Whuahahahaha. Dit is misschien wel het allerbeste dronkenmansfilmpje ooit. Het theater houdt maar niet op. Check: https://t.co/4toTGA1uQT #Groningen,1.78272454638818E+018,f,f,20,,,,,,,,,,,,,Sikkom,,,2024-04-23 10:53:47+00,2,4,8,https://twitter.com/Sikkom050/status/1782724546388181042,2343981858,Sikkom050,7454,2024-04-30 09:10:05.908375+00,https://twitter.com/search?q=%23groningen&src=typed_query
30870,result,63,0,,,,,,"Oud #Groningen. Boteringe brug, Hoge en Lage der Aa en de Grote Markt. https://t.co/I58WSCSC1g",1.78246322640963E+018,f,f,5,https://pbs.twimg.com/media/GLyU23-WMAAbRZo.jpg,photo,https://pbs.twimg.com/media/GLyU23-WMAAbRZo.jpg,https://pbs.twimg.com/media/GLyU22CXsAA3dRk.jpg,photo,https://pbs.twimg.com/media/GLyU22CXsAA3dRk.jpg,https://pbs.twimg.com/media/GLyU226WgAEv0Lk.jpg,photo,https://pbs.twimg.com/media/GLyU226WgAEv0Lk.jpg,,,,smeerling-antiek,,,2024-04-22 17:35:24+00,0,0,1,https://twitter.com/smeerlingantiek/status/1782463226409632057,389361933,smeerlingantiek,212,2024-04-30 09:09:36.606485+00,https://twitter.com/search?q=%23groningen&src=typed_query
30871,result,36,0,,,,,,Groningen  Politie doet onderzoek na een melding van een steekpartij. Hierbij is een man om het leven gekomen. Een 46 jarige vrouw is aangehouden. #Groningen https://t.co/slKhpTqKD0,1.78273400879679E+018,f,f,1,https://pbs.twimg.com/media/GL2Kb_1WsAIHB_1.jpg,photo,https://pbs.twimg.com/media/GL2Kb_1WsAIHB_1.jpg,https://pbs.twimg.com/media/GL2KcABWoAA4DwQ.jpg,photo,https://pbs.twimg.com/media/GL2KcABWoAA4DwQ.jpg,https://pbs.twimg.com/media/GL2Kb_7XUAAJ7Zd.jpg,photo,https://pbs.twimg.com/media/GL2Kb_7XUAAJ7Zd.jpg,https://pbs.twimg.com/media/GL2Kb_zWoAA-6dY.jpg,photo,https://pbs.twimg.com/media/GL2Kb_zWoAA-6dY.jpg,Dutch Emergencies,,,2024-04-23 11:31:23+00,0,0,0,https://twitter.com/DEmergencies/status/1782734008796791187,1.64909574770968E+018,DEmergencies,46,2024-04-30 09:09:25.070487+00,https://twitter.com/search?q=%23groningen&src=typed_query
